Fall,College,Degree,Major Name,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
1995,Applied Life Sciences,,Community Health,,107,25,82,0,70,13,16,8,0,0,0,0,0,0,0,0,0,104,3
1996,Applied Life Sciences,,Community Health,,26,8,18,1,15,2,3,1,0,0,0,4,0,0,0,0,0,16,10
1996,Applied Life Sciences,,Community Health,,106,24,82,1,72,18,12,3,0,0,0,0,0,0,0,0,0,105,1
1997,Applied Life Sciences,,Community Health,,26,10,16,1,15,3,2,1,0,0,0,4,0,0,0,0,0,14,12
1997,Applied Life Sciences,,Community Health,,66,12,54,2,41,14,7,1,0,0,0,1,0,0,0,0,0,63,3
1998,Applied Life Sciences,,Community Health,,54,13,41,0,37,10,7,0,0,0,0,0,0,0,0,0,0,54,0
1998,Applied Life Sciences,,Community Health,,24,7,17,0,19,1,2,0,0,0,0,2,0,0,0,0,0,16,8
1999,Applied Life Sciences,,Community Health,,19,6,13,0,16,0,2,0,0,0,0,1,0,0,0,0,0,12,7
1999,Applied Life Sciences,,Community Health,,54,13,41,3,44,3,2,1,0,0,0,1,0,0,0,0,0,50,4
2000,Applied Life Sciences,,Community Health,,17,7,10,0,11,0,2,1,0,0,0,3,0,0,0,0,0,7,10
2000,Applied Life Sciences,,Community Health,,73,11,62,3,62,6,1,1,0,0,0,0,0,0,0,0,0,71,2
2001,Applied Life Sciences,,Community Health,,21,6,15,0,17,0,1,0,0,0,0,3,0,0,0,0,0,11,10
2001,Applied Life Sciences,,Community Health,,72,20,52,1,58,10,0,3,0,0,0,0,0,0,0,0,0,71,1
2002,Applied Life Sciences,,Community Health,,20,6,14,0,12,2,4,1,0,0,0,1,0,0,0,0,0,16,4
2002,Applied Life Sciences,,Community Health,,65,20,45,0,50,12,1,2,0,0,0,0,0,0,0,0,0,63,2
2003,Applied Life Sciences,,Community Health,,29,10,19,0,18,2,6,2,0,0,0,1,0,0,0,0,0,19,10
2003,Applied Life Sciences,,Community Health,,72,16,56,0,51,10,8,2,1,0,0,0,0,0,0,0,0,70,2
1980,Media,,Communication,,27,12,15,0,7,0,0,20,0,0,0,17,0,0,0,0,0,0,10
1981,Media,,Communication,,38,15,23,0,28,2,0,0,1,0,0,7,0,0,0,0,0,15,23
1982,Media,,Communication,,41,18,23,0,11,0,1,29,0,0,0,23,0,0,0,0,0,0,18
1983,Media,,Communication,,36,14,22,0,26,0,0,1,0,0,0,9,0,0,0,0,0,14,22
1984,Media,,Communication,,37,18,19,1,11,1,1,23,0,0,0,23,0,0,0,0,0,0,14
1985,Media,,Communication,,33,18,15,0,22,3,0,1,0,0,0,7,0,0,0,0,0,12,21
1986,Media,,Communication,,43,21,22,3,24,4,0,2,0,0,0,10,0,0,0,0,0,21,22
1987,Media,,Communication,,40,20,20,0,25,0,2,2,0,0,0,11,0,0,0,0,0,16,24
1988,Media,,Communication,,33,22,11,2,18,1,1,1,0,0,0,10,0,0,0,0,0,11,22
1989,Media,,Communication,,37,23,14,3,18,2,1,1,0,0,0,12,0,0,0,0,0,14,23
1990,Media,,Communication,,40,25,15,6,17,0,1,3,0,0,0,13,0,0,0,0,0,13,27
1991,Media,,Communication,,36,22,14,3,18,0,3,4,0,0,0,8,0,0,0,0,0,14,22
1992,Media,,Communication,,32,20,12,4,17,0,1,4,0,0,0,6,0,0,0,0,0,12,20
1993,Media,,Communication,,37,20,17,2,23,0,1,5,0,0,0,6,0,0,0,0,0,13,24
1994,Media,,Communication,,39,19,20,0,23,0,3,4,1,0,0,8,0,0,0,0,0,10,29
1995,Media,,Communication,,41,19,22,0,25,0,2,5,1,0,0,8,0,0,0,0,0,12,29
1996,Media,,Communication,,37,13,24,0,21,0,2,4,1,0,0,9,0,0,0,0,0,8,29
1997,Media,,Communication,,36,14,22,1,20,1,2,3,1,0,0,8,0,0,0,0,0,12,24
1998,Media,,Communication,,33,14,19,0,19,2,3,2,0,0,0,7,0,0,0,0,0,10,23
1999,Media,,Communication,,34,14,20,1,21,2,2,1,0,0,0,7,0,0,0,0,0,11,23
2000,Media,,Communication,,35,11,24,1,16,2,1,3,0,0,0,12,0,0,0,0,0,11,24
2001,Media,,Communication,,36,11,25,4,14,2,1,3,1,0,0,11,0,0,0,0,0,10,26
2002,Media,,Communication,,49,22,27,3,20,4,2,5,0,0,0,15,0,0,0,0,0,13,36
2003,Media,,Communication,,54,23,31,2,22,4,2,7,0,0,0,17,0,0,0,0,0,11,43
1980,Engineering,,Computer Engineering,,273,241,32,0,238,17,8,2,3,0,0,5,0,0,0,0,0,259,14
1980,Engineering,,Computer Engineering,,13,11,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,1
1981,Engineering,,Computer Engineering,,307,265,42,0,271,19,9,4,1,0,0,3,0,0,0,0,0,292,15
1981,Engineering,,Computer Engineering,,4,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1981,Engineering,,Computer Engineering,,12,7,5,0,11,1,0,0,0,0,0,0,0,0,0,0,0,12,0
1982,Engineering,,Computer Engineering,,338,287,51,0,290,29,11,3,0,0,0,5,0,0,0,0,0,315,23
1982,Engineering,,Computer Engineering,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1982,Engineering,,Computer Engineering,,16,11,5,0,14,1,1,0,0,0,0,0,0,0,0,0,0,14,2
1983,Engineering,,Computer Engineering,,400,330,70,0,329,45,22,2,0,0,0,2,0,0,0,0,0,376,24
1983,Engineering,,Computer Engineering,,7,4,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,7,0
1983,Engineering,,Computer Engineering,,19,14,5,0,17,1,1,0,0,0,0,0,0,0,0,0,0,17,2
1984,Engineering,,Computer Engineering,,466,395,71,1,390,47,21,5,0,0,0,2,0,0,0,0,0,436,30
1984,Engineering,,Computer Engineering,,4,1,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,0
1984,Engineering,,Computer Engineering,,14,12,2,0,11,2,1,0,0,0,0,0,0,0,0,0,0,13,1
1985,Engineering,,Computer Engineering,,472,411,61,0,381,59,20,6,0,0,0,6,0,0,0,0,0,433,39
1985,Engineering,,Computer Engineering,,6,5,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,6,0
1985,Engineering,,Computer Engineering,,23,20,3,0,22,1,0,0,0,0,0,0,0,0,0,0,0,22,1
1986,Engineering,,Computer Engineering,,434,381,53,1,345,50,18,8,0,0,0,12,0,0,0,0,0,397,37
1986,Engineering,,Computer Engineering,,5,3,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,5,0
1986,Engineering,,Computer Engineering,,24,23,1,0,20,4,0,0,0,0,0,0,0,0,0,0,0,22,2
1987,Engineering,,Computer Engineering,,376,344,32,1,293,44,17,8,0,0,0,13,0,0,0,0,0,330,46
1987,Engineering,,Computer Engineering,,4,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,1
1987,Engineering,,Computer Engineering,,27,27,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,26,1
1988,Engineering,,Computer Engineering,,332,299,33,2,234,55,21,10,0,0,0,10,0,0,0,0,0,287,45
1988,Engineering,,Computer Engineering,,7,6,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,6,1
1988,Engineering,,Computer Engineering,,29,28,1,0,23,5,0,1,0,0,0,0,0,0,0,0,0,27,2
1989,Engineering,,Computer Engineering,,282,260,22,1,203,45,19,9,1,0,0,4,0,0,0,0,0,251,31
1989,Engineering,,Computer Engineering,,4,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1989,Engineering,,Computer Engineering,,27,25,2,1,20,5,1,0,0,0,0,0,0,0,0,0,0,24,3
1990,Engineering,,Computer Engineering,,277,249,28,0,190,51,20,11,1,0,0,4,0,0,0,0,0,243,34
1990,Engineering,,Computer Engineering,,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1990,Engineering,,Computer Engineering,,22,21,1,1,15,6,0,0,0,0,0,0,0,0,0,0,0,16,6
1991,Engineering,,Computer Engineering,,285,262,23,1,194,52,21,12,0,0,0,5,0,0,0,0,0,250,35
1991,Engineering,,Computer Engineering,,17,16,1,0,10,7,0,0,0,0,0,0,0,0,0,0,0,15,2
1992,Engineering,,Computer Engineering,,308,281,27,1,208,54,24,18,0,0,0,3,0,0,0,0,0,268,40
1992,Engineering,,Computer Engineering,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1992,Engineering,,Computer Engineering,,17,16,1,0,11,5,1,0,0,0,0,0,0,0,0,0,0,15,2
1993,Engineering,,Computer Engineering,,366,333,33,2,236,80,25,19,0,0,0,4,0,0,0,0,0,316,50
1993,Engineering,,Computer Engineering,,17,16,1,0,13,4,0,0,0,0,0,0,0,0,0,0,0,15,2
1994,Engineering,,Computer Engineering,,414,377,37,5,257,98,28,22,0,0,0,4,0,0,0,0,0,360,54
1994,Engineering,,Computer Engineering,,16,16,0,0,11,4,1,0,0,0,0,0,0,0,0,0,0,13,3
1995,Engineering,,Computer Engineering,,514,479,35,6,333,115,27,28,0,0,0,5,0,0,0,0,0,444,70
1995,Engineering,,Computer Engineering,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1995,Engineering,,Computer Engineering,,20,19,1,0,10,9,1,0,0,0,0,0,0,0,0,0,0,16,4
1996,Engineering,,Computer Engineering,,547,512,35,10,348,127,23,34,0,0,0,5,0,0,0,0,0,455,92
1996,Engineering,,Computer Engineering,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1996,Engineering,,Computer Engineering,,25,23,2,0,13,12,0,0,0,0,0,0,0,0,0,0,0,20,5
1997,Engineering,,Computer Engineering,,561,517,44,9,361,122,22,40,1,0,0,6,0,0,0,0,0,461,100
1997,Engineering,,Computer Engineering,,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1997,Engineering,,Computer Engineering,,27,25,2,2,14,11,0,0,0,0,0,0,0,0,0,0,0,23,4
1998,Engineering,,Computer Engineering,,654,591,63,10,405,152,25,46,2,0,0,14,0,0,0,0,0,542,112
1998,Engineering,,Computer Engineering,,3,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
1998,Engineering,,Computer Engineering,,25,24,1,0,16,9,0,0,0,0,0,0,0,0,0,0,0,21,4
1999,Engineering,,Computer Engineering,,762,683,79,17,452,194,33,43,1,0,0,22,0,0,0,0,0,617,145
1999,Engineering,,Computer Engineering,,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
1999,Engineering,,Computer Engineering,,19,19,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,15,4
2000,Engineering,,Computer Engineering,,785,709,76,14,435,227,38,46,1,0,0,24,0,0,0,0,0,636,149
2000,Engineering,,Computer Engineering,,5,5,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,2
2000,Engineering,,Computer Engineering,,16,16,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,12,4
2001,Engineering,,Computer Engineering,,837,758,79,16,429,248,43,50,0,0,0,51,0,0,0,0,0,640,197
2001,Engineering,,Computer Engineering,,3,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1
2001,Engineering,,Computer Engineering,,7,7,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,6,1
2002,Engineering,,Computer Engineering,,816,729,87,15,417,239,42,48,1,0,0,54,0,0,0,0,0,598,218
2002,Engineering,,Computer Engineering,,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0
2002,Engineering,,Computer Engineering,,6,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,1
2003,Engineering,,Computer Engineering,,750,677,73,14,409,196,35,41,0,0,0,55,0,0,0,0,0,543,207
2003,Engineering,,Computer Engineering,,4,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,1
2003,Engineering,,Computer Engineering,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2006,Fine and Applied Arts,NDEG,Art and Design,,4,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0
2006,Fine and Applied Arts,MFA,Art and Design,Graphic Design,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2006,Fine and Applied Arts,MFA,Art and Design,,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2006,Fine and Applied Arts,MFA,Art and Design,Photography,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2006,Fine and Applied Arts,MFA,Art and Design,Sculpture,7,5,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3
2006,Fine and Applied Arts,MFA,Art and Design,Industrial Design,4,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4
2006,Fine and Applied Arts,MFA,Art and Design,Painting,8,4,4,0,4,1,1,1,0,0,0,1,0,0,0,0,0,4,4
2006,Fine and Applied Arts,MFA,Art and Design,Metals,6,2,4,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,6
2005,Fine and Applied Arts,NDEG,Art and Design,,5,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2005,Fine and Applied Arts,MFA,Art and Design,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2005,Fine and Applied Arts,MFA,Art and Design,Graphic Design,6,0,6,0,1,2,1,0,0,0,0,2,0,0,0,0,0,3,3
2005,Fine and Applied Arts,MFA,Art and Design,Photography,5,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,3
2005,Fine and Applied Arts,MFA,Art and Design,Sculpture,6,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2005,Fine and Applied Arts,MFA,Art and Design,Industrial Design,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2005,Fine and Applied Arts,MFA,Art and Design,Metals,6,2,4,0,2,0,0,0,1,0,0,3,0,0,0,0,0,1,5
2005,Fine and Applied Arts,MFA,Art and Design,Painting,11,7,4,0,8,1,1,0,0,0,0,1,0,0,0,0,0,4,7
2004,Fine and Applied Arts,MFA,Art and Design,,6,4,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,1
1980,LAS,,Comparative Literature,,42,22,20,1,22,0,0,2,0,0,0,17,0,0,0,0,0,15,27
1981,LAS,,Comparative Literature,,44,20,24,1,18,1,0,2,0,0,0,22,0,0,0,0,0,13,31
1982,LAS,,Comparative Literature,,43,19,24,0,14,1,0,4,0,0,0,24,0,0,0,0,0,9,34
1983,LAS,,Comparative Literature,,39,16,23,0,11,3,0,4,0,0,0,21,0,0,0,0,0,10,29
1984,LAS,,Comparative Literature,,36,15,21,0,7,3,0,1,0,0,0,25,0,0,0,0,0,8,28
1985,LAS,,Comparative Literature,,45,20,25,1,9,3,1,1,0,0,0,30,0,0,0,0,0,7,38
1986,LAS,,Comparative Literature,,33,14,19,0,5,2,1,1,0,0,0,24,0,0,0,0,0,6,27
1987,LAS,,Comparative Literature,,33,12,21,1,3,2,2,2,0,0,0,23,0,0,0,0,0,6,27
1988,LAS,,Comparative Literature,,28,12,16,0,5,1,2,2,0,0,0,18,0,0,0,0,0,5,23
1989,LAS,,Comparative Literature,,29,13,16,0,7,1,2,2,0,0,0,17,0,0,0,0,0,6,23
1990,LAS,,Comparative Literature,,33,15,18,0,6,0,2,1,0,0,0,24,0,0,0,0,0,3,30
1991,LAS,,Comparative Literature,,35,14,21,0,8,0,2,0,0,0,0,25,0,0,0,0,0,4,31
1992,LAS,,Comparative Literature,,34,14,20,0,9,1,2,0,0,0,0,22,0,0,0,0,0,5,29
1993,LAS,,Comparative Literature,,32,15,17,0,15,1,1,0,0,0,0,15,0,0,0,0,0,8,24
1994,LAS,,Comparative Literature,,30,11,19,1,16,1,1,0,0,0,0,11,0,0,0,0,0,6,24
1995,LAS,,Comparative Literature,,31,12,19,1,17,2,1,1,0,0,0,9,0,0,0,0,0,6,25
1996,LAS,,Comparative Literature,,32,12,20,1,17,1,1,1,0,0,0,11,0,0,0,0,0,7,25
1997,LAS,,Comparative Literature,,36,10,26,1,21,3,0,1,0,0,0,10,0,0,0,0,0,9,27
1998,LAS,,Comparative Literature,,27,5,22,0,17,1,0,0,0,0,0,9,0,0,0,0,0,8,19
1999,LAS,,Comparative Literature,,21,6,15,0,12,1,0,0,0,0,0,8,0,0,0,0,0,6,15
2000,LAS,,Comparative Literature,,23,6,17,1,12,1,0,1,0,0,0,8,0,0,0,0,0,3,20
2001,LAS,,Comparative Literature,,27,3,24,3,11,1,1,1,0,0,0,10,0,0,0,0,0,5,22
2002,LAS,,Comparative Literature,,28,3,25,2,11,2,0,1,0,0,0,12,0,0,0,0,0,5,23
2003,LAS,,Comparative Literature,,24,5,19,1,9,2,0,2,0,0,0,10,0,0,0,0,0,3,21
1980,Engineering,,Computer Science,,457,349,108,1,408,23,13,1,1,0,0,10,0,0,0,0,0,438,19
1980,Engineering,,Computer Science,,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1980,Engineering,,Computer Science,,18,14,4,0,16,1,1,0,0,0,0,0,0,0,0,0,0,17,1
1981,Engineering,,Computer Science,,557,409,148,1,494,35,15,2,2,0,0,8,0,0,0,0,0,538,19
1981,Engineering,,Computer Science,,6,4,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,5,1
1981,Engineering,,Computer Science,,20,17,3,0,19,1,0,0,0,0,0,0,0,0,0,0,0,20,0
1982,Engineering,,Computer Science,,610,437,173,4,546,37,16,2,2,0,0,3,0,0,0,0,0,587,23
1982,Engineering,,Computer Science,,10,6,4,0,8,1,1,0,0,0,0,0,0,0,0,0,0,8,2
1982,Engineering,,Computer Science,,28,23,5,0,26,2,0,0,0,0,0,0,0,0,0,0,0,26,2
1983,Engineering,,Computer Science,,658,462,196,4,596,34,18,4,0,0,0,2,0,0,0,0,0,631,27
1983,Engineering,,Computer Science,,7,5,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,6,1
1983,Engineering,,Computer Science,,19,15,4,0,17,2,0,0,0,0,0,0,0,0,0,0,0,17,2
1984,Engineering,,Computer Science,,583,430,153,16,516,25,17,3,0,0,0,6,0,0,0,0,0,555,28
1984,Engineering,,Computer Science,,5,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0
1984,Engineering,,Computer Science,,12,9,3,0,11,1,0,0,0,0,0,0,0,0,0,0,0,11,1
1985,Engineering,,Computer Science,,522,403,119,11,448,36,15,3,0,0,0,9,0,0,0,0,0,483,39
1985,Engineering,,Computer Science,,4,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0
1985,Engineering,,Computer Science,,12,8,4,0,10,1,1,0,0,0,0,0,0,0,0,0,0,10,2
1986,Engineering,,Computer Science,,462,361,101,13,383,29,20,7,0,0,0,10,0,0,0,0,0,425,37
1986,Engineering,,Computer Science,,10,10,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,9,1
1986,Engineering,,Computer Science,,16,12,4,0,15,0,1,0,0,0,0,0,0,0,0,0,0,14,2
1987,Engineering,,Computer Science,,410,341,69,9,330,39,13,6,1,0,0,12,0,0,0,0,0,376,34
1987,Engineering,,Computer Science,,8,7,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,8,0
1987,Engineering,,Computer Science,,24,18,6,0,22,1,1,0,0,0,0,0,0,0,0,0,0,21,3
1988,Engineering,,Computer Science,,417,352,65,11,314,53,17,11,0,0,0,11,0,0,0,0,0,378,39
1988,Engineering,,Computer Science,,8,7,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,7,1
1988,Engineering,,Computer Science,,22,18,4,0,21,1,0,0,0,0,0,0,0,0,0,0,0,21,1
1989,Engineering,,Computer Science,,385,326,59,9,274,50,30,11,0,0,0,11,0,0,0,0,0,343,42
1989,Engineering,,Computer Science,,8,7,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,8,0
1989,Engineering,,Computer Science,,25,21,4,0,20,5,0,0,0,0,0,0,0,0,0,0,0,20,5
1990,Engineering,,Computer Science,,368,302,66,7,264,53,28,11,0,0,0,5,0,0,0,0,0,333,35
1990,Engineering,,Computer Science,,4,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,4,0
1990,Engineering,,Computer Science,,16,14,2,0,14,2,0,0,0,0,0,0,0,0,0,0,0,13,3
1991,Engineering,,Computer Science,,369,313,56,5,261,58,27,8,1,0,0,9,0,0,0,0,0,337,32
1991,Engineering,,Computer Science,,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2
1991,Engineering,,Computer Science,,13,12,1,0,10,3,0,0,0,0,0,0,0,0,0,0,0,10,3
1992,Engineering,,Computer Science,,379,328,51,5,261,65,25,14,1,0,0,8,0,0,0,0,0,347,32
1992,Engineering,,Computer Science,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1992,Engineering,,Computer Science,,10,10,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,7,3
1993,Engineering,,Computer Science,,451,385,66,9,308,76,28,16,2,0,0,12,0,0,0,0,0,402,49
1993,Engineering,,Computer Science,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1993,Engineering,,Computer Science,,9,8,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,6,3
1994,Engineering,,Computer Science,,526,467,59,8,365,100,22,22,1,0,0,8,0,0,0,0,0,463,63
1994,Engineering,,Computer Science,,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1
1994,Engineering,,Computer Science,,10,8,2,0,8,1,0,1,0,0,0,0,0,0,0,0,0,9,1
1995,Engineering,,Computer Science,,577,517,60,11,409,110,21,16,1,0,0,9,0,0,0,0,0,487,90
1995,Engineering,,Computer Science,,8,6,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,7,1
1995,Engineering,,Computer Science,,18,17,1,0,12,3,0,3,0,0,0,0,0,0,0,0,0,15,3
1996,Engineering,,Computer Science,,609,532,77,12,413,129,22,20,2,0,0,11,0,0,0,0,0,510,99
1996,Engineering,,Computer Science,,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1
1996,Engineering,,Computer Science,,18,17,1,0,10,5,0,3,0,0,0,0,0,0,0,0,0,15,3
1997,Engineering,,Computer Science,,661,586,75,19,430,147,26,25,2,0,0,12,0,0,0,0,0,544,117
1997,Engineering,,Computer Science,,4,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,1
1997,Engineering,,Computer Science,,20,18,2,0,16,3,0,1,0,0,0,0,0,0,0,0,0,13,7
1998,Engineering,,Computer Science,,694,614,80,18,453,153,36,24,2,0,0,8,0,0,0,0,0,570,124
1998,Engineering,,Computer Science,,5,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,1
1998,Engineering,,Computer Science,,12,11,1,0,10,1,0,1,0,0,0,0,0,0,0,0,0,8,4
1999,Engineering,,Computer Science,,764,674,90,18,499,168,35,24,2,0,0,18,0,0,0,0,0,602,162
1999,Engineering,,Computer Science,,6,4,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,6,0
1999,Engineering,,Computer Science,,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,5
2000,Engineering,,Computer Science,,770,685,85,14,499,177,31,28,1,0,0,20,0,0,0,0,0,613,157
2000,Engineering,,Computer Science,,4,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1
2000,Engineering,,Computer Science,,5,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,3
2001,Engineering,,Computer Science,,876,784,92,19,537,215,31,28,3,0,0,43,0,0,0,0,0,658,218
2001,Engineering,,Computer Science,,7,4,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,5,2
2001,Engineering,,Computer Science,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,Engineering,,Computer Science,,857,769,88,17,516,217,28,25,1,0,0,53,0,0,0,0,0,637,220
2002,Engineering,,Computer Science,,12,10,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,9,3
2002,Engineering,,Computer Science,,5,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2003,Engineering,,Computer Science,,761,680,81,15,465,188,20,22,1,0,0,50,0,0,0,0,0,547,214
2003,Engineering,,Computer Science,,14,12,2,0,8,5,0,0,0,0,0,1,0,0,0,0,0,11,3
2003,Engineering,,Computer Science,,5,4,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3,2
2004,Fine and Applied Arts,MFA,Art and Design,Graphic Design,8,2,6,0,3,2,1,0,0,0,0,2,0,0,0,0,0,5,3
2004,Fine and Applied Arts,MFA,Art and Design,Industrial Design,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2004,Fine and Applied Arts,MFA,Art and Design,Metals,4,1,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3
2004,Fine and Applied Arts,MFA,Art and Design,Painting,9,5,4,0,8,0,0,0,0,0,0,1,0,0,0,0,0,3,6
2004,Fine and Applied Arts,MFA,Art and Design,Photography,6,2,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,5
2004,Fine and Applied Arts,MFA,Art and Design,Sculpture,6,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2004,Fine and Applied Arts,NDEG,Art and Design,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1980,Fine and Applied Arts,,Art Education,,42,4,38,0,40,1,0,1,0,0,0,0,0,0,0,0,0,41,1
1980,Fine and Applied Arts,,Art Education,,30,9,21,0,29,0,0,0,0,0,0,1,0,0,0,0,0,23,7
1981,Fine and Applied Arts,,Art Education,,39,3,36,0,37,0,1,1,0,0,0,0,0,0,0,0,0,39,0
1981,Fine and Applied Arts,,Art Education,,29,4,25,1,23,0,2,1,0,0,0,2,0,0,0,0,0,23,6
1982,Fine and Applied Arts,,Art Education,,37,6,31,0,36,1,0,0,0,0,0,0,0,0,0,0,0,37,0
1982,Fine and Applied Arts,,Art Education,,35,7,28,1,27,0,3,1,0,0,0,3,0,0,0,0,0,25,10
1983,Fine and Applied Arts,,Art Education,,30,5,25,1,28,1,0,0,0,0,0,0,0,0,0,0,0,30,0
1983,Fine and Applied Arts,,Art Education,,44,12,32,0,33,1,3,0,0,0,0,7,0,0,0,0,0,24,20
1984,Fine and Applied Arts,,Art Education,,20,4,16,0,18,1,0,0,0,0,0,1,0,0,0,0,0,19,1
1984,Fine and Applied Arts,,Art Education,,44,15,29,3,34,1,1,0,0,0,0,5,0,0,0,0,0,28,16
1985,Fine and Applied Arts,,Art Education,,22,3,19,0,21,0,0,0,0,0,0,1,0,0,0,0,0,21,1
1985,Fine and Applied Arts,,Art Education,,39,13,26,2,28,2,2,0,0,0,0,5,0,0,0,0,0,26,13
1986,Fine and Applied Arts,,Art Education,,37,9,28,0,34,0,3,0,0,0,0,0,0,0,0,0,0,36,1
1986,Fine and Applied Arts,,Art Education,,33,11,22,2,21,3,1,0,0,0,0,6,0,0,0,0,0,19,14
1987,Fine and Applied Arts,,Art Education,,34,4,30,0,32,0,2,0,0,0,0,0,0,0,0,0,0,34,0
1987,Fine and Applied Arts,,Art Education,,39,11,28,0,26,2,2,0,1,0,0,8,0,0,0,0,0,19,20
1988,Fine and Applied Arts,,Art Education,,38,9,29,1,36,0,1,0,0,0,0,0,0,0,0,0,0,38,0
1988,Fine and Applied Arts,,Art Education,,36,6,30,1,21,3,3,1,0,0,0,7,0,0,0,0,0,20,16
